breach_id,dam_id,dam_name,reservoir_id,river_name,state,district,latitude,longitude,crs,breach_type,failure_mode,breach_location,breach_elevation_m,initial_reservoir_level_m,initial_storage_m3,breach_width_m,breach_depth_m,breach_length_m,breach_side_slope,breach_formation_time_min,breach_formation_rate_m_per_min,failure_start_time,peak_outflow_m3s,time_to_peak_min,breach_outflow_volume_m3,downstream_initial_flow_m3s,dam_height_m,reservoir_area_m2,simulation_duration_hr,scenario_severity,trigger_condition,breach_geometry_wkt,data_source,data_status
IN-B001-001,D001,Tehri,R001,Bhagirathi,Uttarakhand,Tehri Garhwal,30.38,78.48,EPSG:4326,Structural Failure,Sudden,Central dam section,213.3,254.36,409805363.19,86.44,46.7,86.38,0.91,45.42,1.9031,2026-08-02 06:00:00,503247.76,36.79,386718809.52,261.36,260,20352203.48,40.6,High,Foundation Failure,"POLYGON((78.479 30.378999999999998,78.48100000000001 30.378999999999998,78.48100000000001 30.381,78.479 30.381,78.479 30.378999999999998))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B001-002,D001,Tehri,R001,Bhagirathi,Uttarakhand,Tehri Garhwal,30.38,78.48,EPSG:4326,Overtopping,Progressive,Central dam section,114.97,253.52,403580061.74,41.36,145.03,150.27,0.85,168.02,0.2462,2026-08-03 06:00:00,101535.42,81.15,328623282.0,295.54,260,15562701.01,6.6,Extreme,Structural Failure,"POLYGON((78.479 30.378999999999998,78.48100000000001 30.378999999999998,78.48100000000001 30.381,78.479 30.381,78.479 30.378999999999998))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B001-003,D001,Tehri,R001,Bhagirathi,Uttarakhand,Tehri Garhwal,30.38,78.48,EPSG:4326,Piping,Sudden,Central dam section,116.86,243.24,435051320.53,66.12,143.14,195.3,1.8,118.21,0.5594,2026-08-04 06:00:00,118766.25,90.48,322675626.63,400.55,260,69352515.31,18.6,Low,Heavy Rainfall,"POLYGON((78.479 30.378999999999998,78.48100000000001 30.378999999999998,78.48100000000001 30.381,78.479 30.381,78.479 30.378999999999998))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B001-004,D001,Tehri,R001,Bhagirathi,Uttarakhand,Tehri Garhwal,30.38,78.48,EPSG:4326,Structural Failure,Progressive,Central dam section,210.78,245.53,103343185.36,71.5,49.22,142.99,0.52,54.25,1.3179,2026-08-05 06:00:00,67476.47,22.58,84112218.15,239.47,260,11087535.51,16.8,Medium,Overtopping,"POLYGON((78.479 30.378999999999998,78.48100000000001 30.378999999999998,78.48100000000001 30.381,78.479 30.381,78.479 30.378999999999998))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B001-005,D001,Tehri,R001,Bhagirathi,Uttarakhand,Tehri Garhwal,30.38,78.48,EPSG:4326,Overtopping,Sudden,Central dam section,166.51,244.47,315915800.68,21.11,93.49,141.84,1.72,85.5,0.2468,2026-08-06 06:00:00,125138.73,55.56,284452926.58,287.38,260,35557788.56,22.6,High,Foundation Failure,"POLYGON((78.479 30.378999999999998,78.48100000000001 30.378999999999998,78.48100000000001 30.381,78.479 30.381,78.479 30.378999999999998))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B001-006,D001,Tehri,R001,Bhagirathi,Uttarakhand,Tehri Garhwal,30.38,78.48,EPSG:4326,Piping,Progressive,Central dam section,153.88,250.47,253107873.48,22.94,106.12,149.28,1.11,171.11,0.1341,2026-08-07 06:00:00,62576.79,117.96,170396199.83,249.31,260,49201441.44,37.2,Extreme,Structural Failure,"POLYGON((78.479 30.378999999999998,78.48100000000001 30.378999999999998,78.48100000000001 30.381,78.479 30.381,78.479 30.378999999999998))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B001-007,D001,Tehri,R001,Bhagirathi,Uttarakhand,Tehri Garhwal,30.38,78.48,EPSG:4326,Structural Failure,Sudden,Central dam section,177.7,255.84,255194258.08,62.15,82.3,52.92,1.76,139.82,0.4445,2026-08-08 06:00:00,64146.47,122.37,192730005.06,449.91,260,27664795.0,40.1,Low,Heavy Rainfall,"POLYGON((78.479 30.378999999999998,78.48100000000001 30.378999999999998,78.48100000000001 30.381,78.479 30.381,78.479 30.378999999999998))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B001-008,D001,Tehri,R001,Bhagirathi,Uttarakhand,Tehri Garhwal,30.38,78.48,EPSG:4326,Overtopping,Progressive,Central dam section,127.29,250.63,92738601.45,97.65,132.71,87.68,0.77,37.72,2.589,2026-08-09 06:00:00,133046.03,15.66,77395221.81,220.12,260,68829196.3,12.8,Medium,Overtopping,"POLYGON((78.479 30.378999999999998,78.48100000000001 30.378999999999998,78.48100000000001 30.381,78.479 30.381,78.479 30.378999999999998))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B001-009,D001,Tehri,R001,Bhagirathi,Uttarakhand,Tehri Garhwal,30.38,78.48,EPSG:4326,Piping,Sudden,Central dam section,129.41,246.68,91545273.13,55.47,130.59,197.25,0.94,58.2,0.9531,2026-08-10 06:00:00,78134.75,30.37,66447319.41,191.62,260,26955851.91,31.7,High,Foundation Failure,"POLYGON((78.479 30.378999999999998,78.48100000000001 30.378999999999998,78.48100000000001 30.381,78.479 30.381,78.479 30.378999999999998))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
IN-B001-010,D001,Tehri,R001,Bhagirathi,Uttarakhand,Tehri Garhwal,30.38,78.48,EPSG:4326,Structural Failure,Progressive,Central dam section,113.8,248.85,346123591.24,73.2,146.2,98.01,0.73,173.49,0.4219,2026-08-11 06:00:00,95646.54,81.98,277755342.41,265.75,260,22491535.5,13.6,Extreme,Structural Failure,"POLYGON((78.479 30.378999999999998,78.48100000000001 30.378999999999998,78.48100000000001 30.381,78.479 30.381,78.479 30.378999999999998))",Indian dam anchor + synthetic dam-break scenario,SYNTHETIC_PROTOTYPE
