dam_id,dam_name,state,river_basin,river_name,nearest_city_or_district,latitude,longitude,crs,year_of_completion,seismic_zone,dam_type,dam_height_m,dam_length_m,dam_volume_content_m3,gross_storage_capacity_m3,reservoir_area_m2,effective_storage_capacity_m3,purpose,designed_spillway_capacity_m3s,dam_status,dam_geometry_wkt,data_status
IND_DAM_0001,Polavaram,Andhra Pradesh,Godavari,Godavari,Andhra Pradesh,17.4001998,81.6292966,EPSG:4326,1961,IV,Concrete/Gravity,67.18,496.51,2537405.24,355434303.59,76568834.79,280561922.58,Hydropower,5130.57,Operational,POINT (81.6292966 17.4001998),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0002,Srisailam,Andhra Pradesh,Krishna,Krishna,Andhra Pradesh,16.0661763,78.8222636,EPSG:4326,1951,V,Masonry/Concrete,51.97,659.75,3925851.69,416828236.86,42318855.81,384518964.13,Drinking Water,2030.67,Operational,POINT (78.8222636 16.0661763),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0003,Nagarjuna Sagar,Andhra Pradesh,Krishna,Krishna,Andhra Pradesh,16.7207321,79.3723196,EPSG:4326,1946,IV,Masonry,73.55,1459.57,4359440.84,130227169.7,14024283.0,93439141.07,Irrigation;Hydropower,3254.31,Under Construction,POINT (79.3723196 16.7207321),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0004,Ranganadi,Arunachal Pradesh,Brahmaputra,Ranganadi,Arunachal Pradesh,27.4731756,94.2499357,EPSG:4326,1944,IV,Concrete,52.68,806.98,1959821.36,67369033.58,8302351.32,59215724.32,Multipurpose,1545.83,Under Construction,POINT (94.2499357 27.4731756),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0005,Karbi Langpi,Assam,Brahmaputra,Borpani,Assam,25.7880898,92.8362592,EPSG:4326,2024,V,Concrete,44.56,420.02,2657872.95,417257058.66,44989314.8,310907188.73,Drinking Water,2853.8,Operational,POINT (92.8362592 25.7880898),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0006,Kohira,Bihar,Ganga,Kohira,Bihar,24.9972579,83.6309029,EPSG:4326,1956,II,Earthfill,49.04,1218.86,10715684.69,366947594.81,29394472.97,339524092.43,Irrigation;Hydropower,3199.36,Operational,POINT (83.6309029 24.9972579),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0007,Gangrel,Chhattisgarh,Mahanadi,Mahanadi,Chhattisgarh,20.0381705,81.2708638,EPSG:4326,1989,III,Masonry,28.16,2172.73,7365100.95,458996629.75,48028613.67,312889248.23,Drinking Water,1350.87,Operational,POINT (81.2708638 20.0381705),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0008,Salaulim,Goa,West Coast,Salaulim,Goa,15.2364579,74.0168555,EPSG:4326,2021,V,Earthfill,47.31,899.05,3122546.63,80346922.7,5731928.01,67529586.15,Irrigation,2283.06,Operational,POINT (74.0168555 15.2364579),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0009,Sardar Sarovar,Gujarat,Narmada,Narmada,Gujarat,21.9205114,73.6560646,EPSG:4326,1987,III,Concrete/Gravity,46.14,1743.41,5843439.42,94907190.11,15392580.51,87714241.66,Irrigation,2530.82,Operational,POINT (73.6560646 21.9205114),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0010,Ukai,Gujarat,Tapi,Tapi,Gujarat,21.1714379,73.4817274,EPSG:4326,2022,II,Earthfill/Concrete,57.84,1469.36,8894214.19,578084697.24,38892236.92,428859250.79,Drinking Water,7202.77,Operational,POINT (73.4817274 21.1714379),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0011,Kaushalya,Haryana,Indus,Kaushalya,Haryana,30.9339179,77.0888622,EPSG:4326,1953,IV,Earthfill,38.9,516.82,874445.61,717383308.43,62770971.92,479096212.37,Irrigation,4978.15,Operational,POINT (77.0888622 30.9339179),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0012,Bhakra,Himachal Pradesh,Indus,Sutlej,Himachal Pradesh,31.4557647,76.4119726,EPSG:4326,1968,V,Concrete/Gravity,54.15,1177.21,7497183.04,114078086.02,8285149.94,79524268.78,Flood Control,645.85,Under Construction,POINT (76.4119726 31.4557647),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0013,Pong,Himachal Pradesh,Indus,Beas,Himachal Pradesh,31.869185,76.908648,EPSG:4326,1992,IV,Earthfill,50.41,2122.83,15437155.36,194754112.15,55334161.22,180334779.4,Flood Control,2626.19,Under Construction,POINT (76.9086480 31.8691850),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0014,Maithon,Jharkhand,Damodar,Barakar,Jharkhand,23.7902638,86.7612552,EPSG:4326,1969,IV,Concrete/Earthfill,55.17,1230.73,10600024.01,19881850.22,5168100.55,13410015.93,Hydropower,516.85,Operational,POINT (86.7612552 23.7902638),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0015,Panchet,Jharkhand,Ganga,Damodar,Jharkhand,23.5368338,86.5885583,EPSG:4326,1913,III,Earthfill/Concrete,27.16,761.57,1011349.94,76213084.85,7054492.33,72098611.2,Hydropower,1687.15,Under Construction,POINT (86.5885583 23.5368338),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0016,Almatti,Karnataka,Krishna,Krishna,Karnataka,16.2191061,75.9420378,EPSG:4326,1922,II,Concrete,42.74,624.32,2126841.65,36697437.35,4203992.95,34478106.74,Irrigation,1382.08,Operational,POINT (75.9420378 16.2191061),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0017,Krishna Raja Sagara,Karnataka,Cauvery,Cauvery,Karnataka,12.3192007,76.5909228,EPSG:4326,1911,II,Masonry,34.1,503.39,2339198.16,106640320.48,7527695.79,86687232.11,Multipurpose,1021.12,Operational,POINT (76.5909228 12.3192007),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
IND_DAM_0018,Tungabhadra,Karnataka,Krishna,Tungabhadra,Karnataka,15.3037287,76.3726321,EPSG:4326,1916,V,Masonry,35.85,2846.65,13910594.65,122365025.25,9538712.83,88169213.56,Irrigation,1289.2,Operational,POINT (76.3726321 15.3037287),REAL_DAM_ANCHOR + SYNTHETIC_UNFILLED_PARAMETERS
