population_id,state,district,village_or_city,nearest_city,latitude,longitude,crs,population_total,male_population,female_population,households,population_density_per_km2,children_population,elderly_population,settlement_type,river_distance_m,floodplain_flag,elevation_m,estimated_exposed_population,settlement_geometry_wkt,data_source,data_status
IN-POP-0001,Delhi,Delhi,Delhi Settlement 0001,Delhi,28.631994,77.233237,EPSG:4326,71808,36050,35758,21133,7053.6,10278,8561,City,6902.2,0,449.1,5121,POINT (77.233237 28.631994),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0002,Maharashtra,Mumbai,Mumbai Settlement 0002,Mumbai,19.073927,72.879341,EPSG:4326,18036,9038,8998,4237,2572.6,3022,1959,Village,4697.6,0,189.3,1373,POINT (72.879341 19.073927),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0003,Maharashtra,Pune,Pune Settlement 0003,Pune,18.502288,73.86412,EPSG:4326,5054,2670,2384,1536,883.0,659,520,Village,4857.9,0,87.2,197,POINT (73.864120 18.502288),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0004,Maharashtra,Nagpur,Nagpur Settlement 0004,Nagpur,21.141281,79.068789,EPSG:4326,116336,59588,56748,23539,13157.0,15054,9026,Urban Fringe,1818.0,0,492.7,5850,POINT (79.068789 21.141281),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0005,Gujarat,Ahmedabad,Ahmedabad Settlement 0005,Ahmedabad,23.016661,72.575092,EPSG:4326,9719,5123,4596,2866,1780.6,1333,1151,Village,2219.3,0,858.6,33,POINT (72.575092 23.016661),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0006,Gujarat,Surat,Surat Settlement 0006,Surat,21.141004,72.828015,EPSG:4326,10645,5138,5507,2779,3013.5,1348,949,Village,4907.3,0,670.4,671,POINT (72.828015 21.141004),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0007,Rajasthan,Jaipur,Jaipur Settlement 0007,Jaipur,26.892855,75.773221,EPSG:4326,82529,40598,41931,20752,9434.7,15983,6640,City,294.3,1,199.5,22557,POINT (75.773221 26.892855),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0008,Uttar Pradesh,Lucknow,Lucknow Settlement 0008,Lucknow,26.833207,80.920856,EPSG:4326,12265,6291,5974,3325,1028.7,1594,840,Village,7496.0,0,591.5,264,POINT (80.920856 26.833207),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0009,Uttar Pradesh,Varanasi,Varanasi Settlement 0009,Varanasi,25.337797,82.982836,EPSG:4326,107537,54146,53391,25000,18241.1,16491,8488,Urban Fringe,3816.6,0,264.3,7822,POINT (82.982836 25.337797),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-POP-0010,Bihar,Patna,Patna Settlement 0010,Patna,25.587427,85.166136,EPSG:4326,123512,63422,60090,32713,159726.8,23883,12706,Town,5495.9,0,1021.9,6084,POINT (85.166136 25.587427),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
