asset_id,asset_type,asset_name,state,district,city_or_village,latitude,longitude,crs,road_class,road_width_m,building_type,building_area_m2,building_height_m,floors,bridge_length_m,railway_flag,school_flag,hospital_flag,government_flag,criticality_level,population_exposed,river_distance_m,floodplain_flag,asset_geometry_wkt,data_source,data_status
IN-ASSET-0001,Road,Road Asset 0001,Delhi,Delhi,Delhi,28.627653,77.19403,EPSG:4326,Local Road,14.7,Not Applicable,0.0,0.0,0,0.0,0,0,0,0,Medium,17,5761.4,0,POINT (77.194030 28.627653),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0002,Building,Building Asset 0002,Maharashtra,Mumbai,Mumbai,19.070617,72.911353,EPSG:4326,National Highway,0.0,Commercial,1463.6,19.5,6,0.0,0,0,0,0,Low,952,5026.0,0,POINT (72.911353 19.070617),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0003,Bridge,Bridge Asset 0003,Maharashtra,Pune,Pune,18.508091,73.838833,EPSG:4326,Local Road,0.0,Not Applicable,0.0,0.0,0,327.5,0,0,0,0,Very High,68,5061.7,0,POINT (73.838833 18.508091),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0004,Railway,Railway Asset 0004,Maharashtra,Nagpur,Nagpur,21.141618,79.059061,EPSG:4326,Major District Road,0.0,Not Applicable,0.0,0.0,0,0.0,1,0,0,0,High,596,3434.4,0,POINT (79.059061 21.141618),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0005,School,School Asset 0005,Gujarat,Ahmedabad,Ahmedabad,23.008345,72.570846,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,1,0,0,High,2438,2874.7,0,POINT (72.570846 23.008345),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0006,Hospital,Hospital Asset 0006,Gujarat,Surat,Surat,21.164405,72.84193,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,1,0,Very High,2348,2363.8,0,POINT (72.841930 21.164405),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0007,Government Facility,Government Facility Asset 0007,Rajasthan,Jaipur,Jaipur,26.921568,75.758747,EPSG:4326,National Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,0,1,High,418,1407.8,1,POINT (75.758747 26.921568),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0008,Road,Road Asset 0008,Uttar Pradesh,Lucknow,Lucknow,26.822486,80.916596,EPSG:4326,Other District Road,15.8,Not Applicable,0.0,0.0,0,0.0,0,0,0,0,Medium,158,4103.9,0,POINT (80.916596 26.822486),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0009,Building,Building Asset 0009,Uttar Pradesh,Varanasi,Varanasi,25.315099,82.97869,EPSG:4326,Local Road,0.0,Public,2753.4,7.6,3,0.0,0,0,0,0,Low,1391,1878.0,0,POINT (82.978690 25.315099),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0010,Bridge,Bridge Asset 0010,Bihar,Patna,Patna,25.58968,85.155208,EPSG:4326,Local Road,0.0,Not Applicable,0.0,0.0,0,663.7,0,0,0,0,Very High,513,2276.0,0,POINT (85.155208 25.589680),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0011,Railway,Railway Asset 0011,West Bengal,Kolkata,Kolkata,22.567939,88.329583,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,0.0,1,0,0,0,High,342,5456.8,0,POINT (88.329583 22.567939),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0012,School,School Asset 0012,Assam,Guwahati,Guwahati,26.170782,91.73693,EPSG:4326,State Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,1,0,0,High,1388,4695.8,0,POINT (91.736930 26.170782),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0013,Hospital,Hospital Asset 0013,Odisha,Bhubaneswar,Bhubaneswar,20.304843,85.836728,EPSG:4326,State Highway,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,1,0,Very High,1121,2533.4,0,POINT (85.836728 20.304843),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0014,Government Facility,Government Facility Asset 0014,Jharkhand,Ranchi,Ranchi,23.371478,85.287224,EPSG:4326,Other District Road,0.0,Not Applicable,0.0,0.0,0,0.0,0,0,0,1,High,401,4176.6,0,POINT (85.287224 23.371478),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0015,Road,Road Asset 0015,Madhya Pradesh,Bhopal,Bhopal,23.236107,77.441934,EPSG:4326,State Highway,3.3,Not Applicable,0.0,0.0,0,0.0,0,0,0,0,Medium,16,2492.9,0,POINT (77.441934 23.236107),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
IN-ASSET-0016,Building,Building Asset 0016,Madhya Pradesh,Indore,Indore,22.720104,75.842356,EPSG:4326,Other District Road,0.0,Residential,361.3,24.5,8,0.0,0,0,0,0,Low,1453,4444.0,0,POINT (75.842356 22.720104),SYNTHETIC_PROTOTYPE,SYNTHETIC_PROTOTYPE
