SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Gate-1 Discharge (cusec),Gate-2 Discharge (cusec),Gate-3 Discharge (cusec),Gate-4 Discharge (cusec),Gate-5 Discharge (cusec),Gate-6 Discharge (cusec),Gate-7 Discharge (cusec),Gate-8 Discharge (cusec),Gate-9 Discharge (cusec),Gate-10 Discharge (cusec),Gate-11 Discharge (cusec),Gate-12 Discharge (cusec),Gate-13 Discharge (cusec),Gate-14 Discharge (cusec),Gate-15 Discharge (cusec),Gate-16 Discharge (cusec),Gate-17 Discharge (cusec),Gate-18 Discharge (cusec),Gate-19 Discharge (cusec),Gate-20 Discharge (cusec),Gate-21 Discharge (cusec),Gate-22 Discharge (cusec),Gate-23 Discharge (cusec),Gate-24 Discharge (cusec),Gate-25 Discharge (cusec),Gate-26 Discharge (cusec),Gate-27 Discharge (cusec),Gate-28 Discharge (cusec),Gate-29 Discharge (cusec),Gate-30 Discharge (cusec),Gate-31 Discharge (cusec),Gate-32 Discharge (cusec),Gate-33 Discharge (cusec),Gate-34 Discharge (cusec),Gate-35 Discharge (cusec),Gate-36 Discharge (cusec),Gate-37 Discharge (cusec),Gate-38 Discharge (cusec),Gate-39 Discharge (cusec),Gate-40 Discharge (cusec),Gate-41 Discharge (cusec),Gate-42 Discharge (cusec),Gate-43 Discharge (cusec),Gate-44 Discharge (cusec),Gate-45 Discharge (cusec),Gate-46 Discharge (cusec),Gate-47 Discharge (cusec),Gate-48 Discharge (cusec),Gate-49 Discharge (cusec),Gate-50 Discharge (cusec)
1,Ujjani Dam Rain Gauge,Maharashtra SW,27,Maharashtra,496,Solapur,-,-,-,-,-,-,-,-,-,18.07402000,75.12002000,23-10-2023 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ujjani Dam Rain Gauge,Maharashtra SW,27,Maharashtra,496,Solapur,-,-,-,-,-,-,-,-,-,18.07402000,75.12002000,23-10-2023 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Ujjani Dam Rain Gauge,Maharashtra SW,27,Maharashtra,496,Solapur,-,-,-,-,-,-,-,-,-,18.07402000,75.12002000,23-10-2023 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Ujjani Dam Rain Gauge,Maharashtra SW,27,Maharashtra,496,Solapur,-,-,-,-,-,-,-,-,-,18.07402000,75.12002000,02-11-2023 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ujjani Dam Rain Gauge,Maharashtra SW,27,Maharashtra,496,Solapur,-,-,-,-,-,-,-,-,-,18.07402000,75.12002000,02-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Ujjani Dam Rain Gauge,Maharashtra SW,27,Maharashtra,496,Solapur,-,-,-,-,-,-,-,-,-,18.07402000,75.12002000,06-11-2023 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","",""
7,Ujjani Dam Rain Gauge,Maharashtra SW,27,Maharashtra,496,Solapur,-,-,-,-,-,-,-,-,-,18.07402000,75.12002000,06-11-2023 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","",""
8,Ujjani Dam Rain Gauge,Maharashtra SW,27,Maharashtra,496,Solapur,-,-,-,-,-,-,-,-,-,18.07402000,75.12002000,06-11-2023 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","",""
9,Ujjani Dam Rain Gauge,Maharashtra SW,27,Maharashtra,496,Solapur,-,-,-,-,-,-,-,-,-,18.07402000,75.12002000,06-11-2023 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","",""
10,Ujjani Dam Rain Gauge,Maharashtra SW,27,Maharashtra,496,Solapur,-,-,-,-,-,-,-,-,-,18.07402000,75.12002000,06-11-2023 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","",""
11,Ujjani Dam Rain Gauge,Maharashtra SW,27,Maharashtra,496,Solapur,-,-,-,-,-,-,-,-,-,18.07402000,75.12002000,06-11-2023 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","",""
