dem_cell_id,state,latitude,longitude,elevation_m,spatial_resolution_m,crs,nodata_value,downstream_floodplain,river_valley_terrain,slope_degree,aspect_degree,flow_direction,flow_accumulation_cells,terrain_class,coverage,data_status
IND_DEM_0001,Andhra Pradesh,16.1763739,79.4505348,319.03,30,EPSG:4326,-9999,0,1,1.739,92.75,8,5.08,Plateau,India,SYNTHETIC_PROTOTYPE
IND_DEM_0002,Arunachal Pradesh,28.983298,94.5928252,714.1,30,EPSG:4326,-9999,0,1,0.506,91.05,8,9.13,Hill,India,SYNTHETIC_PROTOTYPE
IND_DEM_0003,Assam,25.7223791,92.5894645,345.89,30,EPSG:4326,-9999,0,0,9.521,217.38,4,4.87,Plateau,India,SYNTHETIC_PROTOTYPE
IND_DEM_0004,Bihar,26.3108726,85.6817315,213.53,30,EPSG:4326,-9999,1,1,8.383,126.63,8,85.97,Plain/Floodplain,India,SYNTHETIC_PROTOTYPE
IND_DEM_0005,Chhattisgarh,21.282575,81.8081193,206.82,30,EPSG:4326,-9999,1,1,1.378,226.9,4,946.84,Plain/Floodplain,India,SYNTHETIC_PROTOTYPE
IND_DEM_0006,Goa,14.9183082,74.2161188,710.43,30,EPSG:4326,-9999,0,1,3.86,112.36,8,43.07,Hill,India,SYNTHETIC_PROTOTYPE
IND_DEM_0007,Gujarat,22.3971864,71.4738064,96.8,30,EPSG:4326,-9999,1,1,9.174,96.78,1,35.18,Plain/Floodplain,India,SYNTHETIC_PROTOTYPE
IND_DEM_0008,Haryana,28.4551475,76.919556,795.76,30,EPSG:4326,-9999,0,0,11.106,114.15,4,17.65,Hill,India,SYNTHETIC_PROTOTYPE
IND_DEM_0009,Himachal Pradesh,32.7865357,76.7053872,1770.72,30,EPSG:4326,-9999,0,0,14.259,304.79,1,2857.17,Hill,India,SYNTHETIC_PROTOTYPE
IND_DEM_0010,Jharkhand,24.0920211,85.6735818,202.69,30,EPSG:4326,-9999,1,1,13.476,1.66,6,108.81,Plain/Floodplain,India,SYNTHETIC_PROTOTYPE
IND_DEM_0011,Karnataka,15.356172,75.5445184,807.46,30,EPSG:4326,-9999,0,0,11.433,206.66,3,104.62,Hill,India,SYNTHETIC_PROTOTYPE
IND_DEM_0012,Kerala,9.6639545,76.8474831,656.38,30,EPSG:4326,-9999,0,1,6.066,245.25,8,1.07,Plateau,India,SYNTHETIC_PROTOTYPE
IND_DEM_0013,Madhya Pradesh,23.9511996,77.9989384,362.52,30,EPSG:4326,-9999,0,1,2.956,332.79,1,699.59,Plateau,India,SYNTHETIC_PROTOTYPE
IND_DEM_0014,Maharashtra,18.6168407,76.2357703,776.56,30,EPSG:4326,-9999,0,1,1.274,144.52,6,4.98,Hill,India,SYNTHETIC_PROTOTYPE
IND_DEM_0015,Manipur,25.5710742,93.6024717,232.7,30,EPSG:4326,-9999,1,1,6.966,302.09,6,174.67,Plain/Floodplain,India,SYNTHETIC_PROTOTYPE
IND_DEM_0016,Meghalaya,25.0973858,90.7452853,327.86,30,EPSG:4326,-9999,0,0,8.426,166.26,4,2141.04,Plateau,India,SYNTHETIC_PROTOTYPE
IND_DEM_0017,Mizoram,22.0732083,93.2083202,290.83,30,EPSG:4326,-9999,0,1,6.835,140.97,4,53.47,Plateau,India,SYNTHETIC_PROTOTYPE
IND_DEM_0018,Nagaland,26.2431665,93.9452966,256.23,30,EPSG:4326,-9999,0,0,11.58,261.1,5,1.61,Plateau,India,SYNTHETIC_PROTOTYPE
IND_DEM_0019,Odisha,20.487123,84.5424294,334.48,30,EPSG:4326,-9999,0,1,7.706,287.68,8,9.65,Plateau,India,SYNTHETIC_PROTOTYPE
IND_DEM_0020,Punjab,31.362757,75.1220611,1716.31,30,EPSG:4326,-9999,0,1,5.869,15.08,1,600.12,Hill,India,SYNTHETIC_PROTOTYPE
