river_id,river_name,river_basin,state,district,reach_id,latitude,longitude,crs,chainage_km,river_width_m,bankfull_width_m,left_bank_elevation_m,right_bank_elevation_m,bed_elevation_m,thalweg_elevation_m,mean_depth_m,maximum_depth_m,bed_slope,cross_section_area_m2,wetted_perimeter_m,manning_n,bank_material,flow_direction_deg,upstream_dam_id,cross_section_wkt,measurement_timestamp,data_source,data_status
IN-R01,Ganga,Ganga Basin,Uttar Pradesh,Kanpur,IN-01-01,26.437,80.33375,EPSG:4326,0.0,82.24,97.04,158.42,150.83,150.97,149.23,6.43,9.19,0.00363,632.59,100.62,0.029,Gravel,107.39,D017,"LINESTRING(80.32875 26.435,80.33375 26.436999999999998,80.33874999999999 26.438999999999997)",2026-08-02 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R01,Ganga,Ganga Basin,Uttar Pradesh,Kanpur,IN-01-02,26.439,80.33625,EPSG:4326,1.5,135.2,159.54,168.01,167.76,155.98,153.68,10.04,14.34,0.001849,1643.18,163.87,0.032,Clay,100.04,D017,"LINESTRING(80.33125 26.437,80.33624999999999 26.439,80.34124999999999 26.441)",2026-08-03 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R01,Ganga,Ganga Basin,Uttar Pradesh,Kanpur,IN-01-03,26.441,80.33875,EPSG:4326,3.0,61.9,73.04,133.3,135.92,122.34,121.79,8.05,11.5,0.001524,522.82,84.9,0.029,Silt,156.71,D017,"LINESTRING(80.33375 26.439,80.33874999999999 26.441,80.34374999999999 26.442999999999998)",2026-08-04 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R01,Ganga,Ganga Basin,Uttar Pradesh,Kanpur,IN-01-04,26.443,80.34125,EPSG:4326,4.5,116.12,137.03,109.07,114.47,101.93,98.11,7.67,10.96,0.001788,978.3,138.03,0.043,Silt,114.96,D017,"LINESTRING(80.33624999999999 26.441,80.34124999999999 26.442999999999998,80.34624999999998 26.444999999999997)",2026-08-05 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R01,Ganga,Ganga Basin,Uttar Pradesh,Kanpur,IN-01-05,26.445,80.34375,EPSG:4326,6.0,127.73,150.72,180.69,181.5,169.28,167.98,8.9,12.71,0.002362,1214.0,153.14,0.029,Alluvium,197.45,D017,"LINESTRING(80.33875 26.443,80.34375 26.445,80.34875 26.447)",2026-08-06 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R01,Ganga,Ganga Basin,Uttar Pradesh,Kanpur,IN-01-06,26.447,80.34625,EPSG:4326,7.5,199.58,235.51,260.28,266.76,251.64,248.78,8.05,11.5,0.001723,1775.2,222.59,0.025,Clay,285.85,D017,"LINESTRING(80.34125 26.445,80.34625 26.447,80.35125 26.448999999999998)",2026-08-07 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R01,Ganga,Ganga Basin,Uttar Pradesh,Kanpur,IN-01-07,26.449,80.34875,EPSG:4326,9.0,119.93,141.52,195.08,192.86,180.21,179.5,10.91,15.58,0.002947,1322.16,151.1,0.031,Sand,149.97,D017,"LINESTRING(80.34375 26.447,80.34875 26.448999999999998,80.35374999999999 26.450999999999997)",2026-08-08 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R01,Ganga,Ganga Basin,Uttar Pradesh,Kanpur,IN-01-08,26.451,80.35125,EPSG:4326,10.5,119.0,140.42,107.41,108.09,96.96,95.9,8.06,11.51,0.000192,1211.19,142.02,0.031,Silt,101.38,D017,"LINESTRING(80.34625 26.449,80.35125 26.451,80.35624999999999 26.453)",2026-08-09 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R01,Ganga,Ganga Basin,Uttar Pradesh,Kanpur,IN-01-09,26.453,80.35375,EPSG:4326,12.0,104.65,123.48,127.18,132.32,124.02,121.41,4.04,5.77,0.002445,451.26,116.18,0.036,Silt,330.62,D017,"LINESTRING(80.34875 26.451,80.35374999999999 26.453,80.35874999999999 26.455)",2026-08-10 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
IN-R01,Ganga,Ganga Basin,Uttar Pradesh,Kanpur,IN-01-10,26.455,80.35625,EPSG:4326,13.5,123.06,145.21,106.82,104.16,96.15,93.34,9.43,13.48,0.003677,1266.78,150.01,0.03,Gravel,215.75,D017,"LINESTRING(80.35125 26.453,80.35624999999999 26.455,80.36124999999998 26.456999999999997)",2026-08-11 06:00:00,Indian river/dam anchor + synthetic prototype cross-section,SYNTHETIC_PROTOTYPE
