weather_observation_id,station_name,state,latitude,longitude,crs,measurement_timestamp,rainfall_mm,rainfall_intensity_mm_hr,temperature_c,relative_humidity_pct,wind_speed_mps,surface_pressure_hpa,river_level_m,river_discharge_m3s,forecast_river_level_m,flood_alert_level,data_source,data_status
IN-WX-0001,Delhi,Delhi,28.617585,77.214179,EPSG:4326,2025-06-01 00:00:00,27.83,1.84,30.4,56.8,11.75,1019.4,6.05,312.96,5.83,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0002,Mumbai,Maharashtra,19.07764,72.883407,EPSG:4326,2025-06-01 00:00:00,3.59,0.18,17.5,46.7,1.56,1018.3,8.72,935.62,8.83,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0003,Pune,Maharashtra,18.515927,73.859563,EPSG:4326,2025-06-01 00:00:00,13.95,2.1,18.0,64.2,1.6,1000.8,8.94,950.96,9.23,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0004,Nagpur,Maharashtra,21.145019,79.083546,EPSG:4326,2025-06-01 00:00:00,21.44,3.99,27.2,50.9,0.57,997.5,8.52,431.25,8.62,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0005,Ahmedabad,Gujarat,23.021394,72.576703,EPSG:4326,2025-06-01 00:00:00,33.88,3.15,26.7,88.0,2.45,1000.1,3.59,396.91,3.61,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0006,Surat,Gujarat,21.169548,72.824124,EPSG:4326,2025-06-01 00:00:00,19.91,5.01,22.7,88.8,5.57,998.5,1.48,147.98,1.34,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0007,Jaipur,Rajasthan,26.915354,75.785538,EPSG:4326,2025-06-01 00:00:00,6.47,0.32,20.8,77.3,4.1,993.0,5.75,173.15,5.97,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0008,Lucknow,Uttar Pradesh,26.84628,80.949775,EPSG:4326,2025-06-01 00:00:00,12.07,0.63,24.2,62.4,3.51,1008.0,4.32,108.97,4.34,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0009,Varanasi,Uttar Pradesh,25.326898,82.983854,EPSG:4326,2025-06-01 00:00:00,5.63,0.25,20.9,59.2,5.48,1004.7,2.42,195.54,2.33,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0010,Patna,Bihar,25.587057,85.141665,EPSG:4326,2025-06-01 00:00:00,5.67,1.18,33.6,90.1,1.22,1004.2,1.57,46.03,1.56,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0011,Kolkata,West Bengal,22.573376,88.356598,EPSG:4326,2025-06-01 00:00:00,30.09,1.77,33.0,60.2,10.34,1005.6,10.34,1184.61,10.57,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0012,Guwahati,Assam,26.136555,91.731718,EPSG:4326,2025-06-01 00:00:00,7.81,0.54,19.0,56.0,2.56,1017.5,10.12,968.98,10.17,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0013,Bhubaneswar,Odisha,20.287675,85.831464,EPSG:4326,2025-06-01 00:00:00,5.88,0.27,35.3,86.1,3.7,1009.9,8.47,1008.23,8.27,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0014,Ranchi,Jharkhand,23.351968,85.318787,EPSG:4326,2025-06-01 00:00:00,1.29,0.18,18.3,81.0,5.05,995.3,9.3,721.96,9.02,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0015,Bhopal,Madhya Pradesh,23.259554,77.405628,EPSG:4326,2025-06-01 00:00:00,43.07,1.94,20.0,83.1,2.21,992.2,7.46,474.15,7.29,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0016,Indore,Madhya Pradesh,22.724647,75.857438,EPSG:4326,2025-06-01 00:00:00,5.01,0.27,13.1,76.3,2.78,998.0,7.11,285.15,7.4,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0017,Raipur,Chhattisgarh,21.253889,81.630209,EPSG:4326,2025-06-01 00:00:00,25.34,2.31,15.9,50.1,10.87,997.5,5.31,225.09,5.51,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0018,Hyderabad,Telangana,17.394546,78.478968,EPSG:4326,2025-06-01 00:00:00,25.16,3.49,26.1,74.5,11.0,1003.7,4.38,389.17,4.35,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0019,Bengaluru,Karnataka,12.962529,77.592572,EPSG:4326,2025-06-01 00:00:00,20.64,2.46,20.3,86.2,11.9,1009.8,1.82,156.53,1.71,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0020,Mysuru,Karnataka,12.292363,76.634578,EPSG:4326,2025-06-01 00:00:00,3.95,0.18,26.5,58.9,10.03,1007.0,7.32,695.49,7.61,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0021,Chennai,Tamil Nadu,13.085311,80.263143,EPSG:4326,2025-06-01 00:00:00,11.94,0.52,17.3,70.4,6.72,1010.6,9.2,765.23,9.1,Danger,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0022,Coimbatore,Tamil Nadu,11.008183,76.959474,EPSG:4326,2025-06-01 00:00:00,29.52,4.53,31.0,80.4,7.96,995.7,7.05,625.78,7.14,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0023,Kochi,Kerala,9.924018,76.260025,EPSG:4326,2025-06-01 00:00:00,28.71,3.12,26.5,79.4,4.72,1012.4,4.9,322.95,4.87,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0024,Thiruvananthapuram,Kerala,8.517715,76.940501,EPSG:4326,2025-06-01 00:00:00,15.22,1.56,13.9,76.5,5.93,1011.0,8.98,594.38,9.09,Warning,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0025,Vijayawada,Andhra Pradesh,16.502013,80.648577,EPSG:4326,2025-06-01 00:00:00,20.56,4.49,16.9,47.9,3.97,1019.5,5.56,189.22,5.81,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0026,Visakhapatnam,Andhra Pradesh,17.693301,83.224331,EPSG:4326,2025-06-01 00:00:00,18.49,0.95,35.6,84.6,6.63,1010.2,5.4,273.38,5.67,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0027,Srinagar,Jammu and Kashmir,34.082375,74.788826,EPSG:4326,2025-06-01 00:00:00,22.16,5.64,14.1,87.5,12.12,996.9,1.97,79.93,1.74,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0028,Shimla,Himachal Pradesh,31.096836,77.165124,EPSG:4326,2025-06-01 00:00:00,14.96,0.83,18.9,49.4,2.89,1011.5,5.63,290.64,5.44,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
IN-WX-0029,Dehradun,Uttarakhand,30.310329,78.030106,EPSG:4326,2025-06-01 00:00:00,9.73,0.42,28.6,70.8,2.85,1015.8,4.33,225.62,4.55,Normal,Synthetic rain-gauge/weather series,SYNTHETIC_PROTOTYPE
